flightId,finalStatus,flightNumber,arrivalAirportFS,divertedAirport,flightDuration,carrier,equipment,depTimeScheduled,depTimeActual,arrTimeScheduled,arrTimeActual
1395691101,On Time,613,NGS,null,121,JAL,738,17:45,17:52,19:40,19:53
1395639536,Delayed,168,JFK,null,855,American Airlines,789,17:45,17:42,18:00,18:57
1395684500,On Time,31,CTS,null,103,Air Do,762,17:50,17:51,19:20,19:34
1395656000,On Time,113,UKB,null,75,Skymark Airlines,738,17:55,17:59,19:10,19:02
1395691163,On Time,653,KOJ,null,98,JAL,763,17:55,18:00,19:40,19:38
1395690782,On Time,329,FUK,null,110,JAL,788,17:55,18:06,19:50,19:56
1395706033,Delayed,657,OKJ,null,70,ANA,763,17:55,18:18,19:10,19:28
1395705697,On Time,267,FUK,null,116,ANA,772,18:00,18:12,19:55,20:08
1395705765,On Time,37,ITM,null,71,ANA,738,18:00,18:12,19:10,19:23
1395705786,On Time,407,AXT,null,76,ANA,788,18:00,18:08,19:10,19:24
1395706133,Delayed,75,CTS,null,112,ANA,773,18:00,18:31,19:40,20:23
1395690273,On Time,133,ITM,null,64,JAL,788,18:00,18:03,19:05,19:07
1395705745,Delayed,387,YGJ,null,96,ANA,32Q,18:00,18:09,19:20,19:45
