flightId,finalStatus,flightNumber,arrivalAirportFS,divertedAirport,operatedBy,gate,terminal,flightDuration,carrier,equipment,depTimeScheduled,depTimeActual,arrTimeScheduled,arrTimeActual,timezone
1395581005,Diverted,1301,OKA,AHA,null,null,null,155,ANA,Boeing 777-300ER,14:40,15:18,17:15,17:37,9
1395065694,Delayed,475,OKA,null,null,65,2,148,ANA,Boeing 777-200 / 200ER,14:45,15:09,17:20,17:37,9
1395051183,On Time,165,AXT,null,Operated by J-Air on behalf of JAL,18,1,63,JAL,Embraer 190,14:50,14:48,15:55,15:51,9
1395065596,On Time,31,ITM,null,Operated by ANA Wings on behalf of ANA,51,2,59,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,14:50,14:58,15:55,15:57,9
1395051986,On Time,973,ISG,null,null,11,1,159,JAL,Boeing 767-300 Passenger,14:50,14:58,17:35,17:37,9
1395051177,On Time,125,ITM,null,null,17,1,64,JAL,Boeing 787-8,14:50,14:57,15:55,16:01,9
1395065867,On Time,645,KMJ,null,null,64,2,105,ANA,Airbus A321neo,14:55,15:01,16:35,16:46,9
1395051188,On Time,157,MSJ,null,Operated by J-Air on behalf of JAL,21,1,77,JAL,Embraer 190,14:55,14:54,16:10,16:11,9
1395071228,On Time,421,MNL,null,null,111,3,274,Philippine Airlines,Airbus A321 (sharklets),14:55,15:02,18:50,18:36,-8
1395051496,On Time,283,IZO,null,null,3,1,71,JAL,Boeing 767-300 Passenger,14:55,15:08,16:15,16:19,9
1395051941,On Time,667,OIT,null,null,5A,1,88,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,15:00,15:01,16:30,16:29,9
1395065923,On Time,681,HIJ,null,Operated by ANA Wings on behalf of ANA,47,2,83,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,15:00,15:09,16:20,16:32,9
1395065534,Delayed,259,FUK,null,null,59,2,98,ANA,Boeing 787-9,15:00,15:33,16:50,17:11,9
1395065908,Delayed,69,CTS,null,null,58,2,107,ANA,Boeing 787-9,15:00,15:45,16:35,17:32,9
1395065258,On Time,1083,NGS,null,null,null,2,100,ANA,Boeing 767-381(ER) Passenger,15:00,15:07,16:50,16:47,9
1395017158,On Time,19,FUK,null,null,19,1,112,Skymark Airlines,Boeing 737-800 (winglets) Passenger/BBJ2,15:05,15:04,17:00,16:56,9
1394996239,On Time,77,KOJ,null,null,52,2,97,Solaseed Air,Boeing 737-800 (winglets) Passenger/BBJ2,15:05,15:10,16:50,16:47,9
1395051989,On Time,919,OKA,null,null,10,1,149,JAL,Airbus A350-900,15:10,15:22,17:40,17:51,9
1395051745,On Time,483,TAK,null,null,4,1,74,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,15:10,15:14,16:25,16:28,9
1395065618,On Time,385,YGJ,null,null,51,2,77,ANA,Airbus A321neo,15:10,15:16,16:30,16:33,9
1394996566,On Time,25,KIX,null,null,2,1,71,StarFlyer,Airbus A320neo,15:15,15:28,16:40,16:39,9
1395027724,Delayed,294,ATL,null,null,141,3,799,Delta Air Lines,Airbus A350-900,15:15,15:15,15:05,15:34,-4
1395065690,Delayed,477,OKA,null,null,63,2,145,ANA,Boeing 777-300,15:25,16:10,17:55,18:35,9
1395051750,On Time,521,CTS,null,null,16,1,99,JAL,Airbus A350-900,15:25,15:30,17:00,17:09,9
1394996587,On Time,83,KKJ,null,null,1,1,90,StarFlyer,Airbus A320neo,15:25,15:41,17:10,17:11,9
1395051585,On Time,323,FUK,null,null,7,1,99,JAL,Boeing 767-300 Passenger,15:25,15:26,17:10,17:05,9
1394996261,On Time,61,KMI,null,null,54,2,95,Solaseed Air,Boeing 737-800 (winglets) Passenger/BBJ2,15:25,15:32,17:00,17:07,9
1395065301,Delayed,1105,CTS,null,null,53,2,107,ANA,Airbus A321neo,15:30,15:42,17:05,17:29,9
1395065990,On Time,797,OIT,null,Operated by ANA Wings on behalf of ANA,null,2,89,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,15:30,15:43,17:05,17:12,9
1395051703,On Time,437,MYJ,null,null,6,1,78,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,15:30,15:31,16:55,16:49,9
1395065967,On Time,749,NTQ,null,null,502,2,50,ANA,Airbus A320neo,15:30,15:37,16:30,16:27,9
1395017176,On Time,307,KOJ,null,null,22,1,107,Skymark Airlines,Boeing 737-800 (winglets) Passenger/BBJ2,15:30,15:45,17:20,17:32,9
1395051996,Delayed,93,GMP,null,null,141,3,140,JAL,Boeing 787-8,17:05,17:52,19:25,20:12,9
1395017209,On Time,519,OKA,null,null,37,1,153,Skymark Airlines,Boeing 737-800 (winglets) Passenger/BBJ2,15:35,15:36,18:20,18:09,9
1395017111,On Time,109,UKB,null,null,20,1,75,Skymark Airlines,Boeing 737-800 (winglets) Passenger/BBJ2,15:35,15:54,16:50,16:54,9
1395022645,On Time,386,CAN,null,null,109,3,275,China Southern Airlines,Boeing 777-300ER,15:40,15:52,19:15,18:37,-6
1395065553,On Time,261,FUK,null,null,57,2,100,ANA,Boeing 787-8,15:40,15:47,17:30,17:27,9
1395051712,On Time,461,TKS,null,null,8,1,67,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,15:40,15:45,16:50,16:52,9
1395023530,On Time,648,PKX,null,null,112,3,194,China Southern Airlines,Airbus A330-300,15:45,15:35,18:45,17:49,-6
1395091671,On Time,804,IAD,null,null,108A,3,795,United Airlines,Boeing 777-200 / 200ER,15:45,15:45,15:50,16:00,-4
1395065906,On Time,697,UBJ,null,null,null,2,92,ANA,Airbus A321neo,15:50,15:52,17:25,17:24,9
1395045879,Delayed,29,CTS,null,null,56,2,103,Air Do,Boeing 767-381(ER) Passenger,15:50,16:36,17:20,18:19,9
1395065491,On Time,1895,HAC,null,Operated by ANA Wings on behalf of ANA,506,2,43,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,15:50,16:09,16:40,16:52,9
1395091783,On Time,876,SFO,null,null,107A,3,603,United Airlines,Boeing 777-200 / 200ER,15:50,15:47,09:45,09:50,-7
1395051581,On Time,325,FUK,null,null,13,1,103,JAL,Airbus A350-900,15:55,15:59,17:45,17:42,9
1395051978,On Time,921,OKA,null,null,9,1,137,JAL,Airbus A350-900,15:55,16:05,18:20,18:22,9
1394996600,On Time,51,FUK,null,null,3,1,107,StarFlyer,Airbus A320,15:55,16:03,17:50,17:50,9
1395065911,On Time,71,CTS,null,null,62,2,108,ANA,Boeing 787-10,16:00,16:06,17:40,17:54,9
1395065601,On Time,33,ITM,null,Operated by ANA Wings on behalf of ANA,58,2,62,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,16:00,16:15,17:05,17:17,9
1395065632,Delayed,397,SYO,null,null,null,2,88,ANA,Airbus A321 (sharklets),16:00,16:08,17:00,17:36,9
1395065897,On Time,727,IWJ,null,null,509,2,85,ANA,Airbus A320neo,16:00,16:12,17:30,17:37,9
1395018629,On Time,134,PEK,null,null,null,3,204,Air China,Airbus A321 (sharklets),16:00,16:02,19:00,18:26,-6
1395051209,On Time,147,AOJ,null,null,18,1,73,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,16:00,16:01,17:15,17:14,9
1395025540,On Time,120,MSP,null,null,143,3,677,Delta Air Lines,Airbus A350-900,16:05,16:32,13:35,13:49,-5
1395017171,On Time,21,FUK,null,null,20,1,102,Skymark Airlines,Boeing 737-800 (winglets) Passenger/BBJ2,16:05,16:34,18:05,18:16,9
1395065295,On Time,1095,OKA,null,null,64,2,139,ANA,Boeing 777-200 / 200ER,16:05,16:27,18:40,18:46,9
1395066061,On Time,865,GMP,null,null,66,2,133,ANA,Boeing 767-300 (winglets) Passenger,16:10,16:26,18:35,18:39,9
1395045897,Delayed,73,KUH,null,null,55,2,113,Air Do,Boeing 737-700 (winglets) Passenger/BBJ1,16:15,16:21,17:55,18:14,9
1395065804,Delayed,567,KCZ,null,Operated by ANA Wings on behalf of ANA,507,2,84,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,16:15,16:27,17:35,17:51,9
1395051249,On Time,2,SFO,null,null,113,3,588,JAL,Boeing 777-300ER,16:20,16:19,10:05,10:07,-7
1395026227,On Time,166,SEA,null,null,144,3,548,Delta Air Lines,Airbus A350-900,16:20,16:37,09:45,09:45,-7
1395021598,On Time,549,HKG,null,null,148,3,255,Cathay Pacific,Boeing 777-300ER,16:20,16:36,20:00,19:51,8
1395065549,On Time,263,FUK,null,null,61,2,105,ANA,Boeing 787-8,16:20,16:29,18:15,18:14,9
1395065538,On Time,297,TTJ,null,Operated by ANA Wings on behalf of ANA,503,2,77,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,16:20,16:25,17:40,17:42,9
1395065582,On Time,319,TOY,null,null,null,2,59,ANA,Airbus A320neo,16:20,16:21,17:25,17:20,9
1394996565,On Time,27,KIX,null,null,1,1,75,StarFlyer,Airbus A320 (sharklets),16:25,16:27,17:55,17:42,9
1395051888,On Time,695,KMI,null,null,4,1,93,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,16:25,16:36,18:00,18:09,9
1395051310,On Time,219,SHM,null,null,21,1,64,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,16:30,16:35,17:40,17:39,9
1395000535,On Time,176,DFW,null,null,null,3,733,American Airlines,Boeing 777-300ER,16:30,16:22,14:25,14:35,-5
1395051847,Delayed,651,KOJ,null,null,5A,1,103,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,16:30,16:49,18:10,18:32,9
1395051215,On Time,127,ITM,null,null,12,1,65,JAL,Boeing 767-300 Passenger,16:30,16:33,17:35,17:38,9
1395065674,On Time,455,HSG,null,Operated by ANA Wings on behalf of ANA,505,2,99,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,16:30,16:32,18:20,18:11,9
1395065846,On Time,627,KOJ,null,null,47,2,98,ANA,Airbus A321neo,16:35,16:35,18:20,18:13,9
1394996224,On Time,17,KMJ,null,null,54,2,106,Solaseed Air,Boeing 737-800 (winglets) Passenger/BBJ2,16:35,16:36,18:20,18:22,9
1395096183,On Time,385,HAN,null,null,145,3,305,Vietnam Airlines,Boeing 787-9,16:35,16:27,20:05,19:32,null
1395030549,Delayed,8,LAX,null,null,141,3,629,Delta Air Lines,Airbus A350-900,16:35,19:37,11:05,14:06,-7
1395051395,On Time,25,PEK,null,null,131,3,206,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,16:35,16:48,19:45,19:14,-6
1395051727,On Time,523,CTS,null,null,15,1,98,JAL,Airbus A350-900,16:40,16:52,18:20,18:30,9
1395051877,On Time,669,OIT,null,null,6,1,94,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,16:40,16:44,18:10,18:18,9
1395051515,On Time,295,UBJ,null,Operated by J-Air on behalf of JAL,8,1,92,JAL,Embraer 190,16:45,16:43,18:20,18:15,9
1395045896,Delayed,79,MMB,null,null,500,2,115,Air Do,Boeing 737-700 (winglets) Passenger/BBJ1,16:45,16:56,18:30,18:51,9
1395051235,On Time,189,KMQ,null,Operated by Japan TransOcean Air on behalf of JAL,17,1,61,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,16:45,16:51,17:55,17:52,9
1395065872,On Time,667,NGS,null,null,58,2,107,ANA,Boeing 777-200 / 200ER,16:45,16:58,18:40,18:45,9
1395065307,On Time,1097,OKA,null,null,65,2,147,ANA,Boeing 787-9,16:50,17:06,19:25,19:33,9
1395065919,On Time,723,ONJ,null,null,59,2,75,ANA,Airbus A320neo,16:50,16:55,18:05,18:10,9
